epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,65.8894,0.82204,3.51046,0.35273,1.97498,1.05094,0.01,0.85714,0.56158,0.34727,0.00417,0.35714,0.08215,0.02135,1.18248,6.38389,0.53719,2.83587,1.35313,0.000386152,0.000386152,0.000386152
28,68.683,0.95774,2.49125,0.25741,1.96566,1.0749,0.01,0.85714,0.56158,0.34727,0.00417,0.35714,0.08215,0.02135,1.18248,6.38389,0.53719,2.83587,1.35313,0.000395658,0.000395658,0.000395658
29,71.0556,1.29448,3.80806,0.3784,2.29193,1.31099,0.01,0.85714,0.5629,0.34317,0.00417,0.35714,0.09043,0.02255,1.26824,6.52084,0.55377,2.85908,1.44262,0.000404768,0.000404768,0.000404768
30,73.0411,0.99634,3.35617,0.31466,2.33271,1.27859,0.01,0.85714,0.5629,0.34317,0.00417,0.35714,0.09043,0.02255,1.26824,6.52084,0.55377,2.85908,1.44262,0.000413482,0.000413482,0.000413482
31,75.1826,0.58478,2.07476,0.20552,1.71407,0.87873,0.01,0.85714,0.60458,0.34694,0.00417,0.35714,0.09617,0.02482,1.33089,6.40637,0.55596,2.86672,1.47108,0.0004218,0.0004218,0.0004218
32,77.0527,1.28361,4.81298,0.34093,2.03973,1.19487,0.01,0.85714,0.60458,0.34694,0.00417,0.35714,0.09617,0.02482,1.33089,6.40637,0.55596,2.86672,1.47108,0.000429722,0.000429722,0.000429722
33,79.8213,0.90073,3.47366,0.29743,1.89125,1.2332,0.01,0.85714,0.63958,0.37578,0.00417,0.35714,0.13885,0.028,1.41582,6.39226,0.55968,2.8718,1.5315,0.000437248,0.000437248,0.000437248
34,81.9269,0.9915,4.18474,0.32553,1.90269,1.16872,0.01,0.85714,0.63958,0.37578,0.00417,0.35714,0.13885,0.028,1.41582,6.39226,0.55968,2.8718,1.5315,0.000444378,0.000444378,0.000444378
35,84.0406,0.72788,2.66206,0.22818,1.66242,1.05769,0.01,0.85714,0.66194,0.39887,0.005,0.42857,0.18359,0.0342,1.44759,6.44378,0.57002,2.85008,1.57728,0.000451112,0.000451112,0.000451112
36,86.1417,1.09506,3.4307,0.48211,1.6702,0.99576,0.01,0.85714,0.66194,0.39887,0.005,0.42857,0.18359,0.0342,1.44759,6.44378,0.57002,2.85008,1.57728,0.00045745,0.00045745,0.00045745
37,88.1756,0.94296,3.00429,0.38982,1.55414,1.09752,0.00917,0.78571,0.68491,0.43839,0.00583,0.5,0.16989,0.03851,1.47059,6.66983,0.57178,2.84626,1.65162,0.000463392,0.000463392,0.000463392
38,90.0951,0.86027,2.53514,0.24562,1.63122,1.03416,0.00917,0.78571,0.68491,0.43839,0.00583,0.5,0.16989,0.03851,1.47059,6.66983,0.57178,2.84626,1.65162,0.000468938,0.000468938,0.000468938
39,92.4521,0.78917,3.59654,0.31928,1.57446,1.00291,0.01083,0.92857,0.71017,0.4444,0.005,0.42857,0.20526,0.06793,1.49239,6.81613,0.56988,2.86128,1.6508,0.000474088,0.000474088,0.000474088
40,94.9261,0.68892,1.8143,0.3286,1.40891,1.00807,0.01083,0.92857,0.71017,0.4444,0.005,0.42857,0.20526,0.06793,1.49239,6.81613,0.56988,2.86128,1.6508,0.000478842,0.000478842,0.000478842
41,97.4176,0.85246,3.23237,0.37773,1.62681,1.03076,0.01083,0.92857,0.68105,0.42636,0.00417,0.35714,0.21635,0.06861,1.43537,7.19531,0.56693,2.89137,1.66049,0.0004832,0.0004832,0.0004832
42,99.704,0.89027,2.69823,0.33139,1.40826,1.06512,0.01083,0.92857,0.68105,0.42636,0.00417,0.35714,0.21635,0.06861,1.43537,7.19531,0.56693,2.89137,1.66049,0.000487162,0.000487162,0.000487162
43,102.107,1.06189,3.33518,0.34019,1.56481,1.05461,0.01083,0.92857,0.6924,0.36715,0.00417,0.35714,0.08453,0.02217,1.47071,7.8032,0.59859,2.88172,1.67565,0.000490728,0.000490728,0.000490728
44,104.621,0.87838,2.79093,0.32605,1.35373,0.93452,0.01083,0.92857,0.6924,0.36715,0.00417,0.35714,0.08453,0.02217,1.47071,7.8032,0.59859,2.88172,1.67565,0.000493898,0.000493898,0.000493898
45,107.204,0.75119,2.75487,0.26925,1.4753,1.02337,0.01083,0.92857,0.66218,0.40544,0.00417,0.35714,0.18786,0.03629,1.4289,8.02382,0.61321,2.88986,1.68402,0.000496672,0.000496672,0.000496672
46,109.375,0.79568,2.83174,0.32074,1.23806,0.9112,0.01083,0.92857,0.66218,0.40544,0.00417,0.35714,0.18786,0.03629,1.4289,8.02382,0.61321,2.88986,1.68402,0.00049905,0.00049905,0.00049905
47,111.801,0.87062,3.3047,0.31835,1.36598,1.03241,0.01083,0.92857,0.59331,0.38549,0.00417,0.35714,0.08883,0.02576,1.42348,8.01293,0.62005,2.90872,1.69302,0.000501032,0.000501032,0.000501032
48,113.868,0.93011,2.48138,0.29464,1.47276,1.09974,0.01083,0.92857,0.59331,0.38549,0.00417,0.35714,0.08883,0.02576,1.42348,8.01293,0.62005,2.90872,1.69302,0.000502618,0.000502618,0.000502618
49,116.508,0.78994,3.19361,0.3041,1.27697,0.92994,0.01083,0.92857,0.55312,0.38008,0.00417,0.35714,0.08885,0.02651,1.46654,8.09843,0.65135,2.85623,1.76408,0.000503808,0.000503808,0.000503808
50,118.89,0.97364,4.68254,0.34312,1.47358,1.20732,0.01083,0.92857,0.55312,0.38008,0.00417,0.35714,0.08885,0.02651,1.46654,8.09843,0.65135,2.85623,1.76408,0.000504602,0.000504602,0.000504602
51,121.223,0.81761,2.99251,0.33656,1.23473,0.97712,0.01083,0.92857,0.49312,0.31876,0.00333,0.28571,0.10284,0.03394,1.42814,8.25261,0.66431,2.85309,1.72347,0.000505,0.000505,0.000505
52,123.13,0.99516,4.07251,0.36527,1.34041,1.04641,0.01083,0.92857,0.49312,0.31876,0.00333,0.28571,0.10284,0.03394,1.42814,8.25261,0.66431,2.85309,1.72347,0.000505002,0.000505002,0.000505002
53,125.312,0.77966,3.49744,0.28688,1.25935,1.02865,0.01083,0.92857,0.49312,0.31876,0.00333,0.28571,0.10284,0.03394,1.42814,8.25261,0.66431,2.85309,1.72347,0.000504608,0.000504608,0.000504608
54,127.422,0.84891,4.15943,0.32502,1.42595,1.06718,0.01718,0.78571,0.47883,0.27629,0.00624,0.28571,0.11515,0.0372,1.4737,8.38634,0.69439,2.92698,1.71094,0.000503818,0.000503818,0.000503818
55,129.425,0.94367,2.78444,0.32279,1.21284,0.9993,0.01718,0.78571,0.47883,0.27629,0.00624,0.28571,0.11515,0.0372,1.4737,8.38634,0.69439,2.92698,1.71094,0.000502632,0.000502632,0.000502632
56,131.71,0.83294,4.1032,0.24469,1.74185,1.22889,0.01718,0.78571,0.47883,0.27629,0.00624,0.28571,0.11515,0.0372,1.4737,8.38634,0.69439,2.92698,1.71094,0.00050105,0.00050105,0.00050105
57,134.285,0.71608,2.51498,0.31858,1.13931,0.94292,1,0.21118,0.41492,0.26335,0.6291,0.14286,0.11397,0.03619,1.54934,8.49289,0.70512,2.87717,1.84502,0.000499072,0.000499072,0.000499072
58,136.259,0.89278,2.63754,0.28001,1.14868,1.02523,1,0.21118,0.41492,0.26335,0.6291,0.14286,0.11397,0.03619,1.54934,8.49289,0.70512,2.87717,1.84502,0.000496698,0.000496698,0.000496698
59,138.25,1.09553,2.29551,0.30908,1.10025,1.00646,1,0.21118,0.41492,0.26335,0.6291,0.14286,0.11397,0.03619,1.54934,8.49289,0.70512,2.87717,1.84502,0.000493928,0.000493928,0.000493928
60,140.606,1.02381,2.4447,0.29769,1.3301,0.99685,1,0.13092,0.37158,0.21309,0.44132,0.06305,0.10719,0.0359,1.60808,8.43252,0.67434,2.89939,1.84991,0.000490762,0.000490762,0.000490762
61,143.04,1.15676,3.78837,0.44279,1.48117,1.35884,1,0.13092,0.37158,0.21309,0.44132,0.06305,0.10719,0.0359,1.60808,8.43252,0.67434,2.89939,1.84991,0.0004872,0.0004872,0.0004872
62,145.372,0.7609,2.59453,0.31563,1.27002,0.97914,1,0.13092,0.37158,0.21309,0.44132,0.06305,0.10719,0.0359,1.60808,8.43252,0.67434,2.89939,1.84991,0.000483242,0.000483242,0.000483242
63,147.761,0.96555,2.62607,0.31274,1.18153,1.00784,1,0.12087,0.36461,0.19546,0.38525,0.05504,0.10382,0.02905,1.68377,8.65154,0.68923,2.85565,1.86602,0.000478888,0.000478888,0.000478888
64,150.353,0.96016,3.06251,0.28485,1.1457,1.16257,1,0.12087,0.36461,0.19546,0.38525,0.05504,0.10382,0.02905,1.68377,8.65154,0.68923,2.85565,1.86602,0.000474138,0.000474138,0.000474138
65,152.801,0.95648,1.78108,0.27246,1.22019,1.08829,1,0.12087,0.36461,0.19546,0.38525,0.05504,0.10382,0.02905,1.68377,8.65154,0.68923,2.85565,1.86602,0.000468992,0.000468992,0.000468992
66,155.475,1.00696,2.79059,0.35829,1.28239,1.01491,1,0.12005,0.36039,0.25167,0.38079,0.0544,0.10242,0.01864,1.57503,8.79314,0.6686,2.89538,1.80746,0.00046345,0.00046345,0.00046345
67,158.079,0.66729,3.8244,0.23986,1.60395,1.0902,1,0.12005,0.36039,0.25167,0.38079,0.0544,0.10242,0.01864,1.57503,8.79314,0.6686,2.89538,1.80746,0.000457512,0.000457512,0.000457512
68,160.405,0.957,4.74308,0.46322,1.41674,1.28843,1,0.12005,0.36039,0.25167,0.38079,0.0544,0.10242,0.01864,1.57503,8.79314,0.6686,2.89538,1.80746,0.000451178,0.000451178,0.000451178
69,162.725,0.8319,3.45809,0.32103,1.07273,0.97127,1,0.12318,0.4644,0.27833,0.0025,0.21429,0.06466,0.01486,1.61403,8.8103,0.65947,2.92279,1.85436,0.000444448,0.000444448,0.000444448
70,165.021,1.06049,4.5162,0.28883,1.25936,1.13081,1,0.12318,0.4644,0.27833,0.0025,0.21429,0.06466,0.01486,1.61403,8.8103,0.65947,2.92279,1.85436,0.000437322,0.000437322,0.000437322
71,167.348,0.88934,3.17114,0.33898,1.16799,1.02381,1,0.12318,0.4644,0.27833,0.0025,0.21429,0.06466,0.01486,1.61403,8.8103,0.65947,2.92279,1.85436,0.0004298,0.0004298,0.0004298
72,169.82,0.95705,3.77523,0.39481,1.20871,1.01953,1,0.13213,0.47099,0.28579,0.0025,0.21429,0.05568,0.01199,1.59363,8.89411,0.66987,2.98599,1.86962,0.000421882,0.000421882,0.000421882
73,172.105,0.68212,2.00872,0.25715,1.04938,0.99505,1,0.13213,0.47099,0.28579,0.0025,0.21429,0.05568,0.01199,1.59363,8.89411,0.66987,2.98599,1.86962,0.000413568,0.000413568,0.000413568
74,174.415,0.73168,2.23836,0.27761,0.98637,0.93214,1,0.13213,0.47099,0.28579,0.0025,0.21429,0.05568,0.01199,1.59363,8.89411,0.66987,2.98599,1.86962,0.000404858,0.000404858,0.000404858
75,176.511,0.87579,3.15983,0.32994,1.36955,1.16257,1,0.1618,0.46371,0.29081,0.00527,0.21429,0.05223,0.01345,1.59304,8.89131,0.66487,2.98459,1.82972,0.000395752,0.000395752,0.000395752
76,178.776,0.60703,2.14165,0.27681,1.02375,0.94778,1,0.1618,0.46371,0.29081,0.00527,0.21429,0.05223,0.01345,1.59304,8.89131,0.66487,2.98459,1.82972,0.00038625,0.00038625,0.00038625
77,180.917,0.85357,3.65562,0.31887,1.24055,1.06436,1,0.1618,0.46371,0.29081,0.00527,0.21429,0.05223,0.01345,1.59304,8.89131,0.66487,2.98459,1.82972,0.000376352,0.000376352,0.000376352
